Junction_ID,Date,Time,Vehicle_Count,Average_Speed_kmph,Congestion_Level,Weather,Signal_State_Green,Signal_State_Red
J1,11-03-2024,00:00,17,30.87172681,1,Fog,55,40
J2,11-03-2024,00:00,21,49.46241356,2,Fog,43,57
J3,11-03-2024,00:00,21,34.79677136,2,Fog,58,55
J4,11-03-2024,00:00,20,40.72886548,2,Fog,27,72
J5,11-03-2024,00:00,16,27.52894907,1,Fog,23,32
J1,11-03-2024,00:15,21,37.9873057,2,Fog,55,37
J2,11-03-2024,00:15,25,51.3689542,2,Fog,25,49
J3,11-03-2024,00:15,19,42.99911278,1,Fog,46,83
J4,11-03-2024,00:15,21,53.07447769,2,Fog,55,50
J5,11-03-2024,00:15,17,45.64406164,1,Fog,50,37
J1,11-03-2024,00:30,17,39.94636232,1,Fog,40,71
J2,11-03-2024,00:30,22,30.68417595,2,Fog,50,65
J3,11-03-2024,00:30,21,45.16080523,3,Fog,56,88
J4,11-03-2024,00:30,24,40.259126,2,Fog,53,77
J5,11-03-2024,00:30,12,53.3241938,1,Fog,46,64
J1,11-03-2024,00:45,22,36.51271983,2,Fog,21,50
J2,11-03-2024,00:45,26,38.72284302,2,Fog,22,52
J3,11-03-2024,00:45,20,29.6056519,2,Fog,40,88
J4,11-03-2024,00:45,16,35.42930916,1,Fog,26,59
J5,11-03-2024,00:45,22,22.16053351,2,Fog,34,70
J1,11-03-2024,01:00,22,39.37228099,2,Fog,50,89
J2,11-03-2024,01:00,16,31.47741186,1,Fog,53,34
J3,11-03-2024,01:00,15,36.30761013,1,Fog,23,84
J4,11-03-2024,01:00,25,32.96946962,2,Fog,49,78
J5,11-03-2024,01:00,17,41.72340222,1,Fog,24,67
J1,11-03-2024,01:15,17,54.45533406,1,Fog,58,35
J2,11-03-2024,01:15,27,49.76169577,2,Fog,51,33
J3,11-03-2024,01:15,18,34.65456302,1,Fog,48,77
J4,11-03-2024,01:15,13,34.88734401,1,Fog,21,49
J5,11-03-2024,01:15,22,40.45289473,2,Fog,50,81
J1,11-03-2024,01:30,12,51.17765854,1,Fog,24,35
J2,11-03-2024,01:30,17,39.76485992,1,Fog,50,65
J3,11-03-2024,01:30,16,45.17287829,1,Fog,30,58
J4,11-03-2024,01:30,20,47.97560824,2,Fog,55,55
J5,11-03-2024,01:30,26,26.79696575,2,Fog,34,67
J1,11-03-2024,01:45,13,31.43733248,1,Fog,32,61
J2,11-03-2024,01:45,23,37.90586426,2,Fog,43,60
J3,11-03-2024,01:45,18,46.82285988,1,Fog,42,56
J4,11-03-2024,01:45,21,37.41350911,2,Fog,40,68
J5,11-03-2024,01:45,19,35.97205609,1,Fog,26,35
J1,11-03-2024,02:00,32,16.07279087,2,Fog,27,55
J2,11-03-2024,02:00,23,42.57343771,2,Fog,27,30
J3,11-03-2024,02:00,7,48.1254474,1,Fog,31,33
J4,11-03-2024,02:00,18,38.06431991,1,Fog,46,34
J5,11-03-2024,02:00,28,29.00305758,2,Fog,48,65
J1,11-03-2024,02:15,19,44.88929912,1,Fog,52,84
J2,11-03-2024,02:15,15,41.08952214,1,Fog,27,80
J3,11-03-2024,02:15,22,35.09148286,2,Fog,33,56
J4,11-03-2024,02:15,18,49.00656619,1,Fog,57,63
J5,11-03-2024,02:15,20,32.46970083,2,Fog,49,68
J1,11-03-2024,02:30,21,42.00998525,2,Fog,57,41
J2,11-03-2024,02:30,18,44.17088803,2,Fog,51,74
J3,11-03-2024,02:30,18,37.8557704,1,Fog,56,81
J4,11-03-2024,02:30,14,48.10425403,1,Fog,22,56
J5,11-03-2024,02:30,16,37.23179406,1,Fog,33,57
J1,11-03-2024,02:45,16,33.21336066,1,Fog,47,54
J2,11-03-2024,02:45,19,35.0063325,1,Fog,31,58
J3,11-03-2024,02:45,25,42.34793103,2,Fog,47,87
J4,11-03-2024,02:45,21,23.72890516,2,Fog,38,50
J5,11-03-2024,02:45,16,36.7748938,1,Fog,39,35
J1,11-03-2024,03:00,22,46.79407749,2,Fog,33,72
J2,11-03-2024,03:00,16,34.53135188,3,Fog,51,33
J3,11-03-2024,03:00,22,41.05262098,2,Fog,23,87
J4,11-03-2024,03:00,28,31.5239734,2,Fog,33,30
J5,11-03-2024,03:00,23,32.8191648,2,Fog,58,55
J1,11-03-2024,03:15,19,35.72692638,1,Fog,20,85
J2,11-03-2024,03:15,22,36.09021553,2,Fog,46,73
J3,11-03-2024,03:15,29,36.1217141,2,Fog,44,30
J4,11-03-2024,03:15,33,29.35388871,2,Fog,40,86
J5,11-03-2024,03:15,20,36.60368722,2,Fog,33,50
J1,11-03-2024,03:30,14,48.6869627,1,Fog,25,37
J2,11-03-2024,03:30,17,32.31606948,1,Fog,31,74
J3,11-03-2024,03:30,14,51.89642189,1,Fog,30,89
J4,11-03-2024,03:30,16,43.83830024,1,Fog,49,84
J5,11-03-2024,03:30,16,46.64281559,1,Fog,40,59
J1,11-03-2024,03:45,27,43.41087266,2,Fog,38,62
J2,11-03-2024,03:45,26,34.15182998,3,Fog,57,55
J3,11-03-2024,03:45,25,43.33229441,2,Fog,54,59
J4,11-03-2024,03:45,20,48.63087266,2,Fog,51,33
J5,11-03-2024,03:45,20,52.10389989,2,Fog,56,88
J1,11-03-2024,04:00,22,35.96298042,2,Fog,46,75
J2,11-03-2024,04:00,20,29.4942004,2,Fog,57,53
J3,11-03-2024,04:00,14,29.37548666,1,Fog,30,49
J4,11-03-2024,04:00,20,41.05558933,2,Fog,44,38
J5,11-03-2024,04:00,19,56.47777119,1,Fog,28,32
J1,11-03-2024,04:15,26,43.008504,2,Fog,25,64
J2,11-03-2024,04:15,10,31.55889057,1,Fog,32,32
J3,11-03-2024,04:15,19,56.69345455,1,Fog,42,39
J4,11-03-2024,04:15,15,30.69495301,1,Fog,59,36
J5,11-03-2024,04:15,15,32.16658591,1,Fog,46,39
J1,11-03-2024,04:30,21,23.23125104,2,Fog,59,38
